"year","president","date","sentenceID","sentence"
"1994","deKlerk","24-05-1994",1,"presidents justice distinguished national assembly provincial premiers commanders security forces diplomatic corps esteemed guests comrades ladies gentlemen"
"1994","deKlerk","24-05-1994",2,"time nation honour memory sons daughters mothers fathers youth children deeds assert pride citizens world"
"1994","deKlerk","24-05-1994",3,"certainties age afrikaner woman transcended experience citizen world"
"1994","deKlerk","24-05-1994",4,"ingrid jonker"
"1994","deKlerk","24-05-1994",5,"poet"
"1994","deKlerk","24-05-1994",6,"afrikaner"
"1994","deKlerk","24-05-1994",7,"artist human"
"1994","deKlerk","24-05-1994",8,"midst despair celebrated hope"
"1994","deKlerk","24-05-1994",9,"confronted death asserted beauty life"
"1994","deKlerk","24-05-1994",10,"dark days hopeless country refused hear resonant voice life"
"1994","deKlerk","24-05-1994",11,"owe debt life"
"1994","deKlerk","24-05-1994",12,"owe commitment poor oppressed wretched despised"
"1994","deKlerk","24-05-1994",13,"aftermath massacre anti pass demonstration sharpeville wrote child dead child lifts fists mother shouts"
"1994","deKlerk","24-05-1994",14,"child dead langa nyanga orlando sharpeville police post philippi lies bullet brain child assemblies law giving child peers windows houses hearts mothers child play sun nyanga child grown treks child grown giant journeys world pass"
"1994","deKlerk","24-05-1994",15,"glorious vision instructs endeavours liberation woman emancipation liberty child"
"1994","deKlerk","24-05-1994",16,"achieve meaning presence chamber purpose occupancy seat government"
"1994","deKlerk","24-05-1994",17,"constrained accumulated effect historical burdens seize time define shared destiny"
"1994","deKlerk","24-05-1994",18,"government honour lead dare masses elected serve role inspired single vision creating people centred society"
"1994","deKlerk","24-05-1994",19,"purpose drive government expansion frontiers human fulfilment continuous extension frontiers freedom"
"1994","deKlerk","24-05-1994",20,"acid test legitimacy programmes elaborate government institutions create legislation adopt serve objectives"
"1994","deKlerk","24-05-1994",21,"single challenge establish social freedom individual freedom individual"
"1994","deKlerk","24-05-1994",22,"construct people centred society freedom manner guarantees political human rights citizens"
"1994","deKlerk","24-05-1994",23,"affirmation government's commitment entrenched human rights culture immediately steps inform secretary united nations subscribe universal declaration human rights"
"1994","deKlerk","24-05-1994",24,"steps ensure accede international covenant civil political rights international covenant social economic rights human rights instruments united nations"
"1994","deKlerk","24-05-1994",25,"definition freedom individual instructed fundamental objective restore human dignity"
"1994","deKlerk","24-05-1994",26,"requires speak political freedoms"
"1994","deKlerk","24-05-1994",27,"government's commitment create people centred society liberty binds pursuit goals freedom freedom hunger freedom deprivation freedom ignorance freedom suppression freedom fear"
"1994","deKlerk","24-05-1994",28,"freedoms fundamental guarantee human dignity"
"1994","deKlerk","24-05-1994",29,"constitute centrepiece government seek achieve focal attention continuously focused"
"1994","deKlerk","24-05-1994",30,"constitute true meaning justification purpose reconstruction development programme lose legitimacy"
"1994","deKlerk","24-05-1994",31,"elaborated programme inspired hope goodwill join provide life"
"1994","deKlerk","24-05-1994",32,"pleased political organisations announced similar aims"
"1994","deKlerk","24-05-1994",33,"happy announce cabinet government national unity reached consensus broad objective creation people centred society spoken elements plan broadly based programme reconstruction development"
"1994","deKlerk","24-05-1994",34,"agreements"
"1994","deKlerk","24-05-1994",35,"annually combined budgets central government provinces provide increasing amount funding plan"
"1994","deKlerk","24-05-1994",36,"start appropriation r2,5 billion budget month"
"1994","deKlerk","24-05-1994",37,"rise r10 billion life government"
"1994","deKlerk","24-05-1994",38,"government allocation funds reconstruction development plan exert maximum leverage marshalling funds abroad"
"1994","deKlerk","24-05-1994",39,"regard pleased report holding consultation principal business leaders country"
"1994","deKlerk","24-05-1994",40,"assured business sector significant contribution structuring management reconstruction development funds effective identification implementation projects supporting financing socio economic development effort"
"1994","deKlerk","24-05-1994",41,"pleased report friends abroad commitments assist generate reconstruction development funds"
"1994","deKlerk","24-05-1994",42,"sincerely positive attitude arises objectives charity desire express solidarity society seek build"
"1994","deKlerk","24-05-1994",43,"accept duty coordinating management total resources generated seeking prescribe contributors undermining continued role governmental organisations community based organisations"
"1994","deKlerk","24-05-1994",44,"initial r2,5 billion found savings redirection spending included preliminary budget proposals cabinet"
"1994","deKlerk","24-05-1994",45,"departments cooperation carrying adjustment planning short notice"
"1994","deKlerk","24-05-1994",46,"allocate larger amount future require adjustments departments partly correct bias spending patterns legacy past"
"1994","deKlerk","24-05-1994",47,"period properly planned"
"1994","deKlerk","24-05-1994",48,"demands managerial capacity spirit cooperation cabinet civil service"
"1994","deKlerk","24-05-1994",49,"confident motivated desire serve people public service discharge responsibilities diligence sensitivity enthusiasm paying attention goal increasing efficiency productivity"
"1994","deKlerk","24-05-1994",50,"government equally committed ensure period properly bring decision processes organs civil society"
"1994","deKlerk","24-05-1994",51,"include trade union movement civic organisations time government isolated people"
"1994","deKlerk","24-05-1994",52,"time steps build capacity communities manage affairs"
"1994","deKlerk","24-05-1994",53,"precisely committed ensuring sustainable growth development leading life continue existing programmes fiscal rehabilitation"
"1994","deKlerk","24-05-1994",54,"determined effort real government consumption levels manage budget deficit view continuous reduction"
"1994","deKlerk","24-05-1994",55,"similarly agreed permanently level taxation avoided"
"1994","deKlerk","24-05-1994",56,"achieve objectives require consistent discipline central provincial governments"
"1994","deKlerk","24-05-1994",57,"disciplined approach ensure integrate objectives reconstruction development plan government expenditure treat incidental tasks government marginalised status mere additions level expenditure"
"1994","deKlerk","24-05-1994",58,"major desperate society"
"1994","deKlerk","24-05-1994",59,"signal seriousness address government days implement projects direct supervision"
"1994","deKlerk","24-05-1994",60,"briefly mention"
"1994","deKlerk","24-05-1994",61,"children age pregnant mothers receive free medical care hospital clinic exists"
"1994","deKlerk","24-05-1994",62,"similarly nutritional feeding scheme implemented primary school established"
"1994","deKlerk","24-05-1994",63,"concrete process consultation major stakeholders organised immediately"
"1994","deKlerk","24-05-1994",64,"programme implemented electrify homes current financial"
"1994","deKlerk","24-05-1994",65,"campaign launched level government public programme designed efforts involve private sector organised labour civics community organisations rebuild townships restore services rural urban addressing issue job creation training unemployed youth"
"1994","deKlerk","24-05-1994",66,"details reconstruction development plan remain discussed agreed"
"1994","deKlerk","24-05-1994",67,"broad outline initiatives mentioned share joy progress government national unity regard matter"
"1994","deKlerk","24-05-1994",68,"carry plan context policy aimed building strong growing economy benefit people"
"1994","deKlerk","24-05-1994",69,"deal matters regard"
"1994","deKlerk","24-05-1994",70,"support sustainable economic growth macro economic objective government remain primary objective monetary policy promote maintain financial stability"
"1994","deKlerk","24-05-1994",71,"reserve bank function protecting currency striving relative price stability times"
"1994","deKlerk","24-05-1994",72,"pleased dr chris stals continue serve governor reserve bank"
"1994","deKlerk","24-05-1994",73,"battle reduce rate inflation continue"
"1994","deKlerk","24-05-1994",74,"realisation objectives fair equal treatment people succeed avoiding inflation economy"
"1994","deKlerk","24-05-1994",75,"major challenge entering global economy stable prices vital restructuring industries dealing critical issue job creation"
"1994","deKlerk","24-05-1994",76,"blessed heritage sophisticated financial sector"
"1994","deKlerk","24-05-1994",77,"financial markets play allocation scarce funds effect economic development programme"
"1994","deKlerk","24-05-1994",78,"meet challenges reconstruction development"
"1994","deKlerk","24-05-1994",79,"recent developments provide creation community banks"
"1994","deKlerk","24-05-1994",80,"encourage participation established financial institutions black economic empowerment support development medium business"
"1994","deKlerk","24-05-1994",81,"economic activity receive attention government importance deracialising democratising economy creating jobs people"
"1994","deKlerk","24-05-1994",82,"pay attention matter consumer protection shield ordinary people country unscrupulous business practices"
"1994","deKlerk","24-05-1994",83,"pay increased attention tourism"
"1994","deKlerk","24-05-1994",84,"jobs foreign currency tourism generates strongly influence economy"
"1994","deKlerk","24-05-1994",85,"active imaginative intervention stake stakeholders national life advantage excellent atmosphere created peaceful transition democracy tourism major positive force future"
"1994","deKlerk","24-05-1994",86,"forward private sector playing central role achieving signi ficantly sustainable rates economic growth"
"1994","deKlerk","24-05-1994",87,"convinced growth prospects sector enhanced measures fiscal discipline contained approach reconstruction development programme continued steady monetary policy"
"1994","deKlerk","24-05-1994",88,"growth proceeds domestic savings progressively finance increased investment reasonable rates"
"1994","deKlerk","24-05-1994",89,"government acutely conscious firstly return capital account balance payments equilibrium due ensure net inflow resources consistent experience countries enjoy rapid growth rates"
"1994","deKlerk","24-05-1994",90,"situation dual currency existence exchange control apparatus direct result conflict country embroiled past"
"1994","deKlerk","24-05-1994",91,"situation returns normal arrangements subjected critical scrutiny"
"1994","deKlerk","24-05-1994",92,"match steady growth confidence home abroad confidence enhancing modifications everybody's benefit"
"1994","deKlerk","24-05-1994",93,"government address matters relate creation attractive investment climate domestic foreign investors conscious compete rest world terms attracting foreign direct investment"
"1994","deKlerk","24-05-1994",94,"pleased started address question trade policy guided gatt commitments determination systematically economy global competition carefully managed process"
"1994","deKlerk","24-05-1994",95,"begin trade negotiations european union united partners southern customs unions neighbours southern development community provide stable mutually beneficial framework international economic relations"
"1994","deKlerk","24-05-1994",96,"closely question enhancing cooperation effort expand economic links rest world"
"1994","deKlerk","24-05-1994",97,"consistent objective creating people centred society effectively address critical questions growth reconstruction development organised labour private sector pay special attention issue human resource development"
"1994","deKlerk","24-05-1994",98,"public private sectors encouraged regard labour resource cost"
"1994","deKlerk","24-05-1994",99,"education training looked closely ensure empower workers raise productivity levels meet skills modern economy"
"1994","deKlerk","24-05-1994",100,"significant resources devoted science technology including research development"
"1994","deKlerk","24-05-1994",101,"government convinced organised labour partner cooperation crucial reconstruction development country"
"1994","deKlerk","24-05-1994",102,"partnership requires labour law reformed line international standards apartheid vestiges removed harmonious labour relations dispensation created basis tripartite cooperation government labour capital"
"1994","deKlerk","24-05-1994",103,"government determined forcefully confront scourge unemployment handouts creation opportunities"
"1994","deKlerk","24-05-1994",104,"government deal sensitively issue population movements country protect workers guard exploitation vulnerable workers ensure friendly relations countries peoples"
"1994","deKlerk","24-05-1994",105,"government taking urgent measures deal firmly drug trafficking carried foreign nationals resident country"
"1994","deKlerk","24-05-1994",106,"racism workplace common offensive racism"
"1994","deKlerk","24-05-1994",107,"words kaffirs hottentots coolies boy girl baas vocabulary"
"1994","deKlerk","24-05-1994",108,"trust matter paying workers public holidays proclaimed ensure participation elections inauguration ceremonies resolved result recent consultations"
"1994","deKlerk","24-05-1994",109,"demonstration private sector involvement beautiful future build"
"1994","deKlerk","24-05-1994",110,"devoted time discussion economic questions fundamental realisation fundamental objectives reconstruction development programme"
"1994","deKlerk","24-05-1994",111,"mention relevant governments involved translate objectives reality"
"1994","deKlerk","24-05-1994",112,"government steps ensure provision clean water basis principle water security introduction proper sanitation sensitive protection environment"
"1994","deKlerk","24-05-1994",113,"determined address dire housing shortage vigorous manner acting private sector communities shelter"
"1994","deKlerk","24-05-1994",114,"health remains fundamental building block humane society determined create implementation reconstruction development programme"
"1994","deKlerk","24-05-1994",115,"address aged disabled uplift disadvantaged sectors women youth improve lives people rural communities informal settlements"
"1994","deKlerk","24-05-1994",116,"invest substantial amounts education training meet commitment introduce free compulsory education period"
"1994","deKlerk","24-05-1994",117,"reinculcate culture learning teaching culture thrive"
"1994","deKlerk","24-05-1994",118,"combat social pathologies widespread poverty break family life crime alcohol drug abuse abuse children women elderly painful reality street children"
"1994","deKlerk","24-05-1994",119,"giving urgent attention waiting lists payment social grants developed owing lack funds"
"1994","deKlerk","24-05-1994",120,"pleased ministry dedicated issue environment"
"1994","deKlerk","24-05-1994",121,"impact aspects national activity address question society preservation healthy environmental future generation born"
"1994","deKlerk","24-05-1994",122,"address borrowed words ingrid jonker focus plight children country"
"1994","deKlerk","24-05-1994",123,"government matter urgency attend tragic complex question children juveniles detention prison"
"1994","deKlerk","24-05-1994",124,"basic principle proceed onwards rescue children nation ensure system criminal justice resort juvenile offenders"
"1994","deKlerk","24-05-1994",125,"issued instruction departments concerned matter urgency guidelines enable empty prisons children suitable alternative care"
"1994","deKlerk","24-05-1994",126,"addition amnesty categories serving prisoners effected terms inauguration address week ago"
"1994","deKlerk","24-05-1994",127,"context government delay unduly regard attending vexed unresolved issue amnesty criminal activities carried furtherance political objectives"
"1994","deKlerk","24-05-1994",128,"attend matter balanced dignified"
"1994","deKlerk","24-05-1994",129,"nation terms past spirit openness forgiveness proceed build future basis repairing healing"
"1994","deKlerk","24-05-1994",130,"burden past lies heavily including responsible inflicting injury suffered"
"1994","deKlerk","24-05-1994",131,"letter spirit constitution prepare legislation seek free wrongdoers fear retribution blackmail acknowledging injury harmed individual wrongs injuries fears hopes affecting individuals identified attended"
"1994","deKlerk","24-05-1994",132,"meantime summoning authority position represent call concerned steps impede compromise processes reconciliation impending legislation address"
"1994","deKlerk","24-05-1994",133,"politically motivated violence"
